Mass/Charge	Intensity
50	0
50.12	0
50.24	0
50.36	0
50.48	0
50.6	0
50.72	0
50.84	0
50.96	0
51.08	0
51.2	0
51.32	0
51.44	0
51.56	0
51.68	0
51.8	0
51.92	0
52.04	0
52.16	0
52.28	0
52.3999999999999	0
52.5199999999999	0
52.6399999999999	0
52.7599999999999	0
52.8799999999999	0
53.04	16666.6665217943
53.16	0
53.28	0
53.4	0
53.52	0
53.64	0
53.76	0
53.88	0
54	0
54.12	0
54.24	0
54.36	0
54.48	0
54.6	0
54.72	0
54.84	0
54.96	0
55.08	0
55.2	0
55.32	0
55.4399999999999	0
55.5599999999999	0
55.6799999999999	0
55.7999999999999	0
55.9199999999999	0
56.0399999999999	0
56.1599999999999	0
56.2799999999999	0
56.3999999999999	0
56.5199999999999	0
56.6399999999999	0
56.7599999999999	0
56.8799999999999	0
56.9999999999999	0
57.1199999999999	0
57.2399999999999	0
57.3599999999999	0
57.4799999999999	0
57.5999999999999	0
57.7199999999999	0
57.8399999999999	0
57.9599999999999	0
58.0799999999999	0
58.1999999999999	0
58.3199999999999	0
58.4399999999999	0
58.5599999999999	0
58.6799999999999	0
58.7999999999999	0
58.9199999999999	0
59.0399999999999	0
59.1599999999999	0
59.2799999999999	0
59.3999999999999	0
59.5199999999999	0
59.6399999999999	0
59.7599999999999	0
59.8799999999999	0
59.9999999999999	0
60.1199999999998	0
60.2399999999998	0
60.3599999999998	0
60.4799999999998	0
60.5999999999998	0
60.7199999999998	0
60.8399999999998	0
60.9599999999998	0
61.0799999999998	0
61.1999999999998	0
61.3199999999998	0
61.4399999999998	0
61.5599999999998	0
61.6799999999998	0
61.7999999999998	0
61.9199999999998	0
62.0399999999998	0
62.1599999999998	0
62.2799999999998	0
62.3999999999998	0
62.5199999999998	0
62.6399999999998	0
62.7599999999998	0
62.8799999999998	0
62.9999999999998	0
63.1199999999998	0
63.2399999999998	0
63.3599999999998	0
63.4799999999998	0
63.5999999999998	0
63.7199999999998	0
63.8399999999998	0
63.9599999999998	0
64.0799999999998	0
64.1999999999998	0
64.3199999999998	0
64.4399999999998	0
64.5599999999998	0
64.6799999999998	0
64.7999999999998	0
64.9199999999998	0
65.0399999999998	0
65.1599999999998	0
65.2799999999998	0
65.3999999999998	0
65.5199999999998	0
65.6399999999998	0
65.7599999999998	0
65.8799999999998	0
65.9999999999998	0
66.1199999999998	0
66.2399999999999	0
66.3599999999999	0
66.4799999999999	0
66.5999999999999	0
66.7199999999999	0
66.8399999999999	0
66.9599999999999	0
67.0799999999999	0
67.1999999999999	0
67.3199999999999	0
67.4399999999999	0
67.5599999999999	0
67.6799999999999	0
67.7999999999999	0
67.9199999999999	0
68.0399999999999	0
68.1599999999999	0
68.2799999999999	0
68.3999999999999	0
